Date;AAPL UW Equity;ABBV UN Equity;ABT UN Equity;ACN UN Equity;AGN UN Equity;AIG UN Equity;ALL UN Equity;AMGN UW Equity;AMZN UW Equity;APC UN Equity;AXP UN Equity;BA UN Equity;BAC UN Equity;BIIB UW Equity;BK UN Equity;BLK UN Equity;BMY UN Equity;BRK/B UN Equity;C UN Equity;CAT UN Equity;CELG UW Equity;CL UN Equity;CMCSA UW Equity;COF UN Equity;COP UN Equity;COST UW Equity;CSCO UW Equity;CVS UN Equity;CVX UN Equity;DD UN Equity;DIS UN Equity;DOW UN Equity;DVN UN Equity;EMC UN Equity;EMR UN Equity;EXC UN Equity;F UN Equity;FB UW Equity;FDX UN Equity;FOX UW Equity;FOXA UW Equity;GD UN Equity;GE UN Equity;GILD UW Equity;GM UN Equity;GOOG UW Equity;GOOGL UW Equity;GS UN Equity;HAL UN Equity;HD UN Equity;HON UN Equity;IBM UN Equity;INTC UW Equity;JNJ UN Equity;JPM UN Equity;KMI UN Equity;KO UN Equity;LLY UN Equity;LMT UN Equity;LOW UN Equity;MA UN Equity;MCD UN Equity;MDLZ UW Equity;MDT UN Equity;MET UN Equity;MMM UN Equity;MO UN Equity;MON UN Equity;MRK UN Equity;MS UN Equity;MSFT UW Equity;NKE UN Equity;NSC UN Equity;ORCL UN Equity;OXY UN Equity;PCLN UW Equity;PEP UN Equity;PFE UN Equity;PG UN Equity;PM UN Equity;PYPL UW Equity;QCOM UW Equity;RTN UN Equity;SBUX UW Equity;SLB UN Equity;SO UN Equity;SPG UN Equity;T UN Equity;TGT UN Equity;TWX UN Equity;TXN UW Equity;UNH UN Equity;UNP UN Equity;UPS UN Equity;USB UN Equity;UTX UN Equity;V UN Equity;VZ UN Equity;WBA UW Equity;WFC UN Equity;WMT UN Equity;XOM UN Equity
01/03/06;58639,1187;#N/A N/A;67699,5376;27772,7007;3333,3153;171881,1558;35312,7976;93870,0226;15484,5124;23272,6529;67200,22;58388,2111;211800,7336;15935,2954;26646,6938;9126,1843;44549,9747;133802,7336;232245,2935;49905,8101;13191,1195;28226,0692;58510,9034;26557,6309;85151,6114;24694,098;129530,7948;23660,5353;128502,8637;37359,9359;54096,7452;42426,7769;26289,2303;34067,3595;34583,0479;37665,3081;14768,0133;#N/A N/A;33464,5868;53742,8494;53742,8494;25054,1345;346147,6307;27955,9311;#N/A N/A;107815,9453;107815,9453;65039,4749;35575,7254;90473,3464;34279,3371;125228,3175;122366,4;171534,4599;145151,319;#N/A N/A;100185,1425;63154,7244;32038,7202;53420,6857;#N/A N/A;43894,6105;49840,1068;65052,0372;37655,4387;55620,0227;150034,679;22902,3559;76444,6661;63346,6027;280447,6385;22377,4123;21469,2918;#N/A N/A;39906,2095;979,6623;98163,2186;193219,6054;197708,3939;#N/A N/A;#N/A N/A;79551,5578;19512,8603;27694,7578;69757,9603;25293,265;18770,9941;108982,4518;47977,0587;78437,2421;#N/A N/A;79248,1482;23935,4338;83119,3391;56397,5379;59605,5722;#N/A N/A;100095,9772;#N/A N/A;108522,8448;187981,5841;368456,1042
02/03/06;59071,911;#N/A N/A;66837,9071;27747,1665;3326,6664;170791,0005;35248,2994;94388,437;15376,1125;23919,2461;66778,0457;58268,1531;208970,4478;15735,0435;26793,2314;9119,1449;44510,8443;133941,4099;229849,4684;49872,2667;13549,0315;28092,0765;58555,4055;26846,6371;86543,9236;24982,7241;128423,694;23676,8192;126913,3766;37755,5225;53981,195;42166,1939;26875,7063;34856,2878;34307,4039;37712,0144;14229,3059;#N/A N/A;33152,4567;53710,6483;53710,6483;25452,7139;347098,5857;28065,8316;#N/A N/A;111259,0806;111259,0806;65425,6681;36765,5147;89836,0606;34453,7655;125291,01;120542,67;171623,7078;145255,92;#N/A N/A;99237,9891;62996,5268;32029,982;53373,7705;#N/A N/A;43907,177;49672,0094;65076,2291;37943,4634;55151,9296;149118,4367;23026,2689;76794,5272;62988,4147;278690,9657;22310,0027;21275,5405;#N/A N/A;37927,2604;980,8454;98212,9215;191748,0167;195866,4924;#N/A N/A;#N/A N/A;79220,3;19620,1373;27061,1677;71743,2792;25100,4131;18663,1665;109719,6062;47220,9607;78211,9772;#N/A N/A;78095,2999;23766,8556;82711,0258;55761,8168;59189,2471;#N/A N/A;99510,6206;#N/A N/A;107096,8992;187606,87;371570,3338
03/03/06;57468,0335;#N/A N/A;67361,0399;27679,0753;3335,5316;169960,406;35177,3513;93055,3715;15513,697;23999,1885;66740,795;58740,3813;209155,5822;15443,151;26515,5813;9045,5658;44804,3224;134713,4214;229200,5991;50053,4009;13827,7898;28272,4512;58191,0537;26602,741;86130,3656;25323,3976;129407,7836;23367,4247;126824,3302;37718,7238;54347,1039;42146,8915;27017,8823;34665,0325;34323,8602;38045,631;14062,1209;#N/A N/A;33788,8385;54431,9969;54431,9969;25580,4433;344598,424;27778,682;#N/A N/A;111770,3788;111770,3788;66334,3579;36493,7093;89644,8748;34653,1122;125322,3563;119542,56;170969,2232;145011,851;#N/A N/A;98977,522;62951,3275;32112,9952;52693,5013;#N/A N/A;43794,0789;49924,2116;64749,6384;37481,108;55023,5815;150159,6211;23519,2272;76947,5915;62914,6701;278277,631;22374,8196;21485,7813;#N/A N/A;38216,9043;972,1689;98544,2742;192851,7082;196261,1855;#N/A N/A;#N/A N/A;78938,7309;19718,2826;27168,0384;72215,9741;25085,5784;18416,0615;108594,4758;46939,6218;78527,3481;#N/A N/A;76766,1337;24034,4401;83329,0135;55216,9131;58752,6134;#N/A N/A;98281,3718;#N/A N/A;107063,3476;188731,0123;372364,157
06/03/06;55567,1417;#N/A N/A;67207,1773;27551,4042;3336,6397;171336,0781;34990,3063;90784,2231;15371,9433;22663,8913;66524,2924;58132,0874;209248,1494;15656,4947;26384,4688;8801,0947;44628,2356;135709,6058;230049,1205;49120,8955;13875,9703;27983,8517;57840,226;26340,7785;83511,1643;25436,9587;129469,2892;23180,1597;124331,0311;37304,7378;53692,3196;41558,1669;25641,4254;33607,2519;34085,243;36731,1818;14335,2249;#N/A N/A;33813,0816;54014,6958;54014,6958;25452,3509;345015,361;27505,9341;#N/A N/A;108791,254;108791,254;65889,0999;35150,068;88795,1604;33938,7863;125385,0488;119248,41;172099,6965;144453,979;#N/A N/A;99332,7045;63832,7139;31759,0969;52138,339;#N/A N/A;43567,8828;49571,1076;64580,295;37117,2873;54321,442;148889,3761;23697,0154;76444,6661;63125,3689;278070,9636;22535,5657;21320,8866;#N/A N/A;36849,1414;944,956;98875,6268;191159,3812;196261,1855;#N/A N/A;#N/A N/A;78243,0895;19548,7589;27412,3141;69332,5348;24699,8746;18836,14;104831,1089;46543,9891;77671,3414;#N/A N/A;76901,7629;23649,1184;83980,1076;55089,7689;58610,4536;#N/A N/A;98720,3892;#N/A N/A;106895,5893;187856,6794;366257,8245
07/03/06;56271,49;#N/A N/A;66976,3834;27134,3456;3321,1256;172581,9699;34990,3063;91080,4598;15396,9587;22320,5339;66326,2666;58556,2923;211145,777;15656,4947;26415,3188;8725,5954;44197,801;136100,5221;231596,4242;49000,1394;13648,8338;28159,0728;57221,756;26136,0262;81994,7846;25370,7167;128362,1884;23546,5479;123151,1663;37589,9281;53942,6783;41307,2351;25190,7231;33298,2743;34393,7998;36637,7692;14260,6593;#N/A N/A;33940,3579;53978,5532;53978,5532;25370,2918;345536,5323;27316,3974;#N/A N/A;107712,5035;107712,5035;65552,8847;34052,5899;87881,7173;34370,7043;125839,5696;118012,98;173200,4206;144628,314;#N/A N/A;98977,522;63968,3118;31946,9688;51544,0808;#N/A N/A;43530,1835;49789,7084;64249,2273;37488,6876;54563,0384;149493,2631;23193,2821;76313,4681;62851,4604;279620,9689;22011,8446;20669,5524;#N/A N/A;36623,8628;927,2085;99008,1679;192704,5494;198333,3248;#N/A N/A;#N/A N/A;79269,9887;19530,9143;27137,5039;67861,2717;24722,1267;18474,4681;102930,0266;46473,6544;77536,1825;#N/A N/A;76522,0011;23261,1209;84862,9471;55380,3842;58661,225;#N/A N/A;98076,497;#N/A N/A;108187,3282;188481,2029;365464,0013
08/03/06;55719,8919;#N/A N/A;66899,4522;26836,4466;3373,2087;173801,9057;35054,8046;91586,531;15346,9279;22115,4413;66635,682;58284,1609;211562,3294;15656,4947;26584,9938;8561,3158;44667,366;136629,5583;232993,9888;48570,7844;13745,1947;29138,25;57136,2113;25904,1744;82091,2815;25441,6903;128300,6828;24482,8732;122705,9344;37313,9375;54019,7117;41085,2569;25420,4929;33535,9494;34196,3234;36777,8881;14074,2455;#N/A N/A;33873,6893;54344,3754;54344,3754;25402,3149;348455,0912;28097,6584;#N/A N/A;104588,5601;104588,5601;64739,6073;34324,3953;87435,6172;34470,3777;127171,7858;117660;174747,3842;145046,718;#N/A N/A;99995,7118;64815,7987;32078,0423;52130,5198;#N/A N/A;43580,4493;49823,3098;64333,7181;37670,5979;54646,0871;151284,1003;22269,3221;75832,409;62229,8989;281894,3102;22037,7714;20183,113;#N/A N/A;36277,8993;928,4198;99107,5736;192630,9699;200865,9394;#N/A N/A;#N/A N/A;82035,9912;19370,3129;26984,8316;68570,3142;24744,3789;18460,9897;103938,7641;46922,0382;77806,5004;#N/A N/A;77579,9089;22768,7654;84973,3021;55034,9228;58732,3049;#N/A N/A;97871,6221;#N/A N/A;108053,1215;188481,2029;364609,1147
09/03/06;54251,7924;#N/A N/A;66453,2507;26751,3326;3274,5833;172841,5307;35080,6039;90821,2527;15059,2512;21728,3001;65843,5788;59036,5244;210821,7918;16358,4563;26183,9437;8454,3954;44413,0183;138213,5944;232045,6414;47899,9172;13480,2023;29519,6137;56338,9464;25865,0305;81526,0855;25110,4799;125717,4476;24523,583;121214,4072;37083,9452;54096,7452;41085,2569;25053,7449;33535,9494;34480,1957;36484,3055;14447,0732;#N/A N/A;34046,4215;54256,7539;54256,7539;25400,3134;346057,7035;28000,5786;#N/A N/A;101372,9968;101372,9968;64380,6748;33873,0959;86330,9884;34279,3371;126983,7082;116189,25;173468,1643;143081,9899;#N/A N/A;100398,252;64499,4036;32152,3172;51137,4831;#N/A N/A;43391,9525;50596,8107;64973,4342;37253,7201;54208,1937;151658,9267;22234,3032;75460,6815;61797,9663;279000,9668;22128,5151;20343,8854;#N/A N/A;36197,4426;925,243;99405,791;192704,5494;202082,91;#N/A N/A;#N/A N/A;79667,498;19691,5157;26656,5861;67802,1849;24603,4487;18193,4507;104559,5257;46376,9442;77220,8116;#N/A N/A;76413,4977;22728,6277;84642,2372;54818,8171;58285,5169;#N/A N/A;98281,3718;#N/A N/A;107214,33;188356,2982;359785,1121
10/03/06;53683,2221;#N/A N/A;67576,4475;26861,9808;3280,9277;175592,8751;35190,2509;90623,7615;15059,2512;21894,2177;67118,3699;59860,9227;212673,1357;16399,7481;26453,8813;8467,2003;44823,8876;138452,7216;234541,2925;47598,027;13407,9316;29746,3705;56100,2388;27075,4778;81429,5886;25550,5166;128177,6716;24751,5579;120390,728;37626,7269;54231,5537;41297,5838;25115,606;33654,7869;34764,0679;37018,092;14614,8456;#N/A N/A;33943,3883;54670,3283;54670,3283;25278,2254;350748,2447;28171,6239;#N/A N/A;99747,4823;99747,4823;64303,4361;34360,2941;87626,803;35001,9691;127845,7304;116777,55;175639,8632;143360,8342;#N/A N/A;101274,3688;64691,5006;32475,6317;51137,4831;#N/A N/A;43542,7499;51404,0092;65082,0653;37617,5407;54600,7878;154142,2136;22606,0422;76007,3396;62282,5736;280550,9722;22035,1787;20953,9958;#N/A N/A;36253,7623;951,4516;99969,0905;191895,1755;204747,089;#N/A N/A;#N/A N/A;79501,8691;19771,8164;27007,7324;68956,4814;24677,6225;18356,5416;105645,8584;46869,2871;77491,1295;#N/A N/A;76182,9281;22948,047;85370,5798;55251,0285;58711,9963;#N/A N/A;100066,7094;#N/A N/A;107676,0197;188731,0123;361372,7585
13/03/06;55736,8642;#N/A N/A;69130,4596;26853,4694;3219,8613;176683,0304;35183,8011;87177,2005;15088,4358;22456,4942;66635,682;59900,942;212626,8521;16489,2138;26831,7939;8595,2487;44882,5832;138972,2242;233792,5972;47631,5703;13480,2023;29792,7526;55810,2671;25021,9329;82932,183;25659,3429;128300,6828;24474,7313;122839,504;38187,9079;55001,8883;41202,5548;26127,4769;33702,3219;34727,0411;36978,058;14652,1284;#N/A N/A;34037,3304;54926,6236;54926,6236;25492,3798;350956,7132;28425,8805;#N/A N/A;99617,4411;99617,4411;63935,4168;35434,7632;87626,803;34611,5817;128409,9631;116071,59;175758,8604;143116,8454;#N/A N/A;100611,3615;64680,2008;32121,7334;51489,3465;#N/A N/A;43128,0571;49675,0135;64345,7882;37693,3367;54427,1404;153390,9111;22624,8985;76983,8867;61934,9205;280137,6374;21895,174;21110,6458;#N/A N/A;37110,6255;931,9937;100217,605;191085,8017;203859,0293;#N/A N/A;#N/A N/A;79849,6898;19941,3401;26740,5559;69074,4868;24692,4572;18153,7799;105219,0848;46913,2463;77175,7586;#N/A N/A;75586,1595;22931,9919;84851,9116;54854,8347;58894,7732;#N/A N/A;100447,1912;#N/A N/A;107860,3678;188481,2029;364181,6715
14/03/06;57335,0437;#N/A N/A;69484,3436;26955,6062;3224,3025;178084,6587;35332,1471;88918,6122;15388,6202;22873,5928;66784,2013;60373,1702;214107,9273;16857,3995;26986,0439;8807,1688;44882,3624;138204,0236;235489,64;48262,1855;13473,3193;29194,9392;56944,522;24796,1032;83855,796;26151,4269;130699,4012;24988,2845;125444,111;38565,0951;55194,472;41724,9634;26710,7387;34082,602;35142,5643;37498,4998;14409,7904;#N/A N/A;34776,7453;55258,9308;55258,9308;25636,4837;352103,2899;29073,0789;#N/A N/A;103784,6693;103784,6693;67888,2175;35909,7047;89517,4176;35176,3975;129898,9106;116306,91;176383,5956;144232,2227;#N/A N/A;101321,7264;65030,4954;32379,5112;52787,3315;#N/A N/A;43052,6584;50275,7154;64333,7181;38390,6597;55514,3242;155394,3843;22983,1687;76765,1825;63241,2533;281377,6417;21939,2496;21226,0721;#N/A N/A;37701,9818;949,8632;100118,1992;191085,8017;197379,4829;#N/A N/A;#N/A N/A;81572,2303;20093,0192;27671,857;71068,7789;24944,6481;18358,7455;105995,0368;47950,6832;77806,5004;#N/A N/A;77159,4584;22800,8755;84307,9418;55575,1871;59209,5556;#N/A N/A;100653,4513;#N/A N/A;108798,8669;189605,3453;371326,0805
