Date;AAPL UW Equity;ABBV UN Equity;ABT UN Equity;ACN UN Equity;AGN UN Equity;AIG UN Equity;ALL UN Equity;AMGN UW Equity;AMZN UW Equity;APC UN Equity;AXP UN Equity;BA UN Equity;BAC UN Equity;BIIB UW Equity;BK UN Equity;BLK UN Equity;BMY UN Equity;BRK/B UN Equity;C UN Equity;CAT UN Equity;CELG UW Equity;CL UN Equity;CMCSA UW Equity;COF UN Equity;COP UN Equity;COST UW Equity;CSCO UW Equity;CVS UN Equity;CVX UN Equity;DD UN Equity;DIS UN Equity;DOW UN Equity;DVN UN Equity;EMC UN Equity;EMR UN Equity;EXC UN Equity;F UN Equity;FB UW Equity;FDX UN Equity;FOX UW Equity;FOXA UW Equity;GD UN Equity;GE UN Equity;GILD UW Equity;GM UN Equity;GOOG UW Equity;GOOGL UW Equity;GS UN Equity;HAL UN Equity;HD UN Equity;HON UN Equity;IBM UN Equity;INTC UW Equity;JNJ UN Equity;JPM UN Equity;KMI UN Equity;KO UN Equity;LLY UN Equity;LMT UN Equity;LOW UN Equity;MA UN Equity;MCD UN Equity;MDLZ UW Equity;MDT UN Equity;MET UN Equity;MMM UN Equity;MO UN Equity;MON UN Equity;MRK UN Equity;MS UN Equity;MSFT UW Equity;NKE UN Equity;NSC UN Equity;ORCL UN Equity;OXY UN Equity;PCLN UW Equity;PEP UN Equity;PFE UN Equity;PG UN Equity;PM UN Equity;PYPL UW Equity;QCOM UW Equity;RTN UN Equity;SBUX UW Equity;SLB UN Equity;SO UN Equity;SPG UN Equity;T UN Equity;TGT UN Equity;TWX UN Equity;TXN UW Equity;UNH UN Equity;UNP UN Equity;UPS UN Equity;USB UN Equity;UTX UN Equity;V UN Equity;VZ UN Equity;WBA UW Equity;WFC UN Equity;WMT UN Equity;XOM UN Equity
01/03/06;9,8714;#N/A N/A;21,0528;32,63;30,08;1109,4641;54,75;76,05;37,14;49,49;54,12;72,95;45,6;46,95;36,6229;142,61;22,77;57,83;465,3;74,39;19,165;27,385;18,2467;88,29;47,0885;52,19;21,06;29,06;57,24;38,5779;27,7165;43,96;59,17;14,25;42,03;56,45;7,95;#N/A N/A;110,43;#N/A N/A;#N/A N/A;62,23;32,76;15,2625;#N/A N/A;#N/A N/A;182,577;143,15;34,685;42,59;41,27;79,9;20,8;57,66;41,63;#N/A N/A;21,155;55,89;73,33;34,16;#N/A N/A;34,93;#N/A N/A;53,78;49,68;73,67;16,6767;42,51;34,96;49,9148;27,14;10,7888;52,08;#N/A N/A;44,4323;24,84;59,25;26,26;60,11;#N/A N/A;#N/A N/A;48,03;43,68;18,14;59,03;34,1;75,022;28,09;54,57;34,455;#N/A N/A;58,43;22,3625;75,32;31,05;58,7;#N/A N/A;30,655;#N/A N/A;32,345;45,15;60,34
02/03/06;9,9443;#N/A N/A;20,7849;32,6;30,02;1102,4273;54,65;76,47;36,88;50,865;53,78;72,8;45,15;46,36;36,8243;142,5;22,75;57,86;460,5;74,34;19,685;27,255;18,2533;89,16;47,8585;52,8;20,88;29,08;57,01;38,9864;27,6573;43,69;60,49;14,58;41,695;56,52;7,66;#N/A N/A;109,4;#N/A N/A;#N/A N/A;63,22;32,85;15,3225;#N/A N/A;#N/A N/A;188,407;144;35,845;42,29;41,48;79,94;20,49;57,69;41,66;#N/A N/A;20,955;55,75;73,31;34,13;#N/A N/A;34,94;#N/A N/A;53,8;50,06;73,05;16,5748;42,74;35,12;49,6326;26,97;10,7563;51,61;#N/A N/A;45,2188;24,87;59,28;26,06;59,55;#N/A N/A;#N/A N/A;47,83;43,98;17,725;60,71;33,84;74,591;28,28;53,71;34,3561;#N/A N/A;57,58;22,205;74,95;30,7;58,29;#N/A N/A;30,4757;#N/A N/A;31,92;45,06;60,85
03/03/06;9,6743;#N/A N/A;20,9476;32,52;30,1;1097,0659;54,54;75,39;37,21;51,035;53,75;73,39;45,19;45,5;36,4427;141,35;22,9;58,23;459,2;74,61;20,09;27,43;18,1133;88,35;47,6298;53,52;21,04;28,7;56,97;38,9484;27,8448;43,67;60,81;14,5;41,715;57,02;7,57;#N/A N/A;111,5;#N/A N/A;#N/A N/A;63,905;33,06;15,0225;#N/A N/A;#N/A N/A;189,273;146;35,58;42,2;41,72;79,96;20,32;57,47;41,59;#N/A N/A;20,9;55,71;73,5;33,695;#N/A N/A;34,85;#N/A N/A;53,53;49,45;72,88;16,6905;43,655;35,19;49,5745;26,93;10,7875;52,12;#N/A N/A;45,5642;24,65;59,48;26,21;59,67;#N/A N/A;#N/A N/A;47,66;44,2;17,795;61,11;33,82;73,604;27,99;53,39;34,4946;#N/A N/A;56,6;22,455;75,51;30,4;57,86;#N/A N/A;30,0993;#N/A N/A;31,91;45,33;60,98
06/03/06;9,3543;#N/A N/A;20,8997;32,37;30,11;1105,9457;54,25;73,55;36,87;49,175;53,75;72,63;45,21;45,5;36,2625;137,53;22,81;58,77;460,9;73,22;20,16;27,15;18,04;87,48;46,1814;53,76;21,05;28,47;55,85;38,5209;27,5093;43,06;58,03;14,14;41,425;55,05;7,69;#N/A N/A;111,58;#N/A N/A;#N/A N/A;63,585;33,1;14,875;#N/A N/A;#N/A N/A;184,228;145,02;34,27;41,8;40,86;80;20,27;57,85;41,43;#N/A N/A;20,975;56,49;72,69;33,34;#N/A N/A;34,67;#N/A N/A;53,39;48,97;71,95;16,5494;43,985;34,96;49,7405;26,91;10,865;51,72;#N/A N/A;43,9335;23,96;59,68;25,98;59,67;#N/A N/A;#N/A N/A;47,24;43,82;17,955;58,67;33,3;75,283;27,02;52,94;34,1186;#N/A N/A;56,7;22,095;76,1;30,33;57,72;#N/A N/A;30,2337;#N/A N/A;31,86;45,12;59,98
07/03/06;9,4729;#N/A N/A;20,8279;31,88;29,97;1113,9877;54,25;73,79;36,93;48,43;53,59;73,16;45,62;45,5;36,3049;136,35;22,59;58,8;464;73,04;19,83;27,32;17,84;86,8;45,3428;53,62;20,87;28,92;55,32;38,8154;27,6376;42,8;57,01;14,01;41,8;54,91;7,65;#N/A N/A;112;#N/A N/A;#N/A N/A;63,38;33,15;14,7725;#N/A N/A;#N/A N/A;182,402;144,28;33,2;41,37;41,38;80,29;20,06;58,22;41,48;#N/A N/A;20,9;56,61;73,12;32,96;#N/A N/A;34,64;#N/A N/A;53,23;49,46;72,27;16,6165;43,05;34,9;49,5247;27,06;10,6125;50,14;#N/A N/A;43,6649;23,51;59,76;26,19;60,3;#N/A N/A;#N/A N/A;47,86;43,78;17,775;57,425;33,33;73,837;26,53;52,86;34,0592;#N/A N/A;56,42;21,7325;76,9;30,49;57,77;#N/A N/A;30,0365;#N/A N/A;32,245;45,27;59,85
08/03/06;9,38;#N/A N/A;20,804;31,53;30,44;1121,8622;54,35;74,2;36,81;47,985;53,84;72,82;45,71;45,5;36,5381;133,72;22,83;59,16;466,8;72,4;19,97;28,27;17,8133;86,03;45,3962;53,77;20,86;30,07;55,12;38,5304;27,6771;42,57;57,53;14,11;41,56;55,12;7,55;#N/A N/A;111,78;#N/A N/A;#N/A N/A;63,46;33,43;15,195;#N/A N/A;#N/A N/A;177,111;142,49;33,465;41,16;41,5;81,14;20;58,74;41,6;#N/A N/A;21,115;57,36;73,42;33,335;#N/A N/A;34,68;#N/A N/A;53,3;49,7;72,38;16,8155;41,335;34,68;49,0349;27,28;10,625;48,96;#N/A N/A;43,2524;23,38;59,82;26,18;61,07;#N/A N/A;#N/A N/A;49,53;43,42;17,675;58,025;33,36;73,783;26,79;53,37;34,178;#N/A N/A;57,2;21,2725;77;30,56;57,84;#N/A N/A;29,9738;#N/A N/A;32,205;45,27;59,71
09/03/06;9,1329;#N/A N/A;20,6653;31,43;29,55;1115,6631;54,39;73,58;36,12;47,145;53,2;73,76;45,55;47,54;35,9869;132,05;22,7;59,63;464,9;71,4;19,585;28,64;17,56;85,9;45,0836;53,07;20,44;30,12;54,45;38,2929;27,7165;42,57;56,7;14,11;41,905;54,68;7,75;#N/A N/A;112,35;#N/A N/A;#N/A N/A;63,455;33,2;15,1425;#N/A N/A;#N/A N/A;171,771;141,63;33,025;40,64;41,27;81,02;19,75;58,31;41,05;#N/A N/A;21,2;57,08;73,59;32,7;#N/A N/A;34,53;#N/A N/A;53,83;49,15;71,8;16,8572;41,27;34,51;48,6945;27;10,6688;49,35;#N/A N/A;43,1565;23,3;60;26,19;61,44;#N/A N/A;#N/A N/A;48,1;44,14;17,46;57,375;33,17;74,115;26,95;52,75;33,9207;#N/A N/A;56,34;21,235;76,7;30,44;57,4;#N/A N/A;30,0993;#N/A N/A;31,955;45,24;58,92
10/03/06;9,0371;#N/A N/A;21,0145;31,56;29,55;1133,4226;54,56;73,42;36,12;47,505;54,23;74,79;45,95;47,66;36,3579;132,25;22,91;59,9;469,9;70,95;19,48;28,86;17,5467;89,92;45,0303;54;20,84;30,4;54,08;38,8534;27,7856;42,79;56,84;14,16;42,25;55,48;7,84;#N/A N/A;112,01;#N/A N/A;#N/A N/A;63,15;33,65;15,235;#N/A N/A;#N/A N/A;169,039;141,53;33,5;41,25;42,14;81,57;19,85;59,04;41,13;#N/A N/A;21,385;57,25;74,33;32,7;#N/A N/A;34,65;#N/A N/A;53,92;49,63;72,32;17,0956;41,96;34,76;49,0764;27,15;10,6238;50,83;#N/A N/A;43,2236;23,96;60,34;26,08;62,25;#N/A N/A;#N/A N/A;48;44,32;17,69;58,435;33,27;74,78;27,23;53,31;34,0394;#N/A N/A;56,17;21,44;77,36;30,68;57,82;#N/A N/A;30,646;#N/A N/A;32,125;45,33;59,18
13/03/06;9,3829;#N/A N/A;21,4978;31,55;29;1140,4593;54,55;73,59;36,19;48,725;53,84;74,84;45,94;47,92;36,8773;134,25;22,94;60,1;468,4;71;19,585;28,905;17,4;83,1;45,8612;54,23;20,86;30,06;55,18;39,4329;28,1803;42,59;59,13;14,18;42,205;55,42;7,86;#N/A N/A;112,32;#N/A N/A;#N/A N/A;63,685;33,67;15,3725;#N/A N/A;#N/A N/A;168,693;140,72;34,32;41,25;41,67;81,93;19,73;59,08;41,06;#N/A N/A;21,245;57,24;73,52;32,925;#N/A N/A;34,32;#N/A N/A;53,31;49,73;72,09;17,0123;41,995;35,2;48,8025;27,11;10,5563;51,21;#N/A N/A;44,2452;23,47;60,49;25,97;61,98;#N/A N/A;#N/A N/A;48,21;44,7;17,515;58,535;33,29;73,954;27,12;53,36;33,9009;#N/A N/A;55,73;21,425;76,89;30,46;58;#N/A N/A;30,7626;#N/A N/A;32,18;45,27;59,64
14/03/06;9,6171;#N/A N/A;21,6079;31,67;29,04;1149,5066;54,78;75,06;36,91;49,63;53,96;75,43;46,26;48,99;37,0893;137,56;22,91;59,62;471,8;71,94;19,575;28,325;17,78;82,35;46,3719;55,27;21,25;30,57;56,35;39,8224;28,279;43,13;60,45;14,34;42,71;56,2;7,73;#N/A N/A;114,76;#N/A N/A;#N/A N/A;64,045;33,78;15,7225;#N/A N/A;#N/A N/A;175,75;149,42;34,78;42,14;42,35;82,88;19,77;59,29;41,38;#N/A N/A;21,395;57,55;74,11;33,755;#N/A N/A;34,26;#N/A N/A;53,3;50,65;73,53;17,2345;42,66;35,1;49,8318;27,23;10,5775;51,49;#N/A N/A;44,9503;23,92;60,43;25,97;60,01;#N/A N/A;#N/A N/A;49,25;45,04;18,125;60,225;33,63;74,789;27,32;54,54;34,178;#N/A N/A;56,89;21,3025;78,1;30,86;58,31;#N/A N/A;30,8253;#N/A N/A;32,46;45,54;60,81
