Date;AAPL UW Equity;ABBV UN Equity;ABT UN Equity;ACN UN Equity;AGN UN Equity;AIG UN Equity;ALL UN Equity;AMGN UW Equity;AMZN UW Equity;APC UN Equity;AXP UN Equity;BA UN Equity;BAC UN Equity;BIIB UW Equity;BK UN Equity;BLK UN Equity;BMY UN Equity;BRK/B UN Equity;C UN Equity;CAT UN Equity;CELG UW Equity;CL UN Equity;CMCSA UW Equity;COF UN Equity;COP UN Equity;COST UW Equity;CSCO UW Equity;CVS UN Equity;CVX UN Equity;DD UN Equity;DIS UN Equity;DOW UN Equity;DVN UN Equity;EMC UN Equity;EMR UN Equity;EXC UN Equity;F UN Equity;FB UW Equity;FDX UN Equity;FOX UW Equity;FOXA UW Equity;GD UN Equity;GE UN Equity;GILD UW Equity;GM UN Equity;GOOG UW Equity;GOOGL UW Equity;GS UN Equity;HAL UN Equity;HD UN Equity;HON UN Equity;IBM UN Equity;INTC UW Equity;JNJ UN Equity;JPM UN Equity;KMI UN Equity;KO UN Equity;LLY UN Equity;LMT UN Equity;LOW UN Equity;MA UN Equity;MCD UN Equity;MDLZ UW Equity;MDT UN Equity;MET UN Equity;MMM UN Equity;MO UN Equity;MON UN Equity;MRK UN Equity;MS UN Equity;MSFT UW Equity;NKE UN Equity;NSC UN Equity;ORCL UN Equity;OXY UN Equity;PCLN UW Equity;PEP UN Equity;PFE UN Equity;PG UN Equity;PM UN Equity;PYPL UW Equity;QCOM UW Equity;RTN UN Equity;SBUX UW Equity;SLB UN Equity;SO UN Equity;SPG UN Equity;T UN Equity;TGT UN Equity;TWX UN Equity;TXN UW Equity;UNH UN Equity;UNP UN Equity;UPS UN Equity;USB UN Equity;UTX UN Equity;V UN Equity;VZ UN Equity;WBA UW Equity;WFC UN Equity;WMT UN Equity;XOM UN Equity
01/03/06;137839520;#N/A N/A;4489500;2241900;732900;200840;2473600;5331825;4925679;3301200;2331600;1641100;10730100;7581678;3324825;122700;6001000;670500;736650;3103800;6213378;1766400;14559423;900400;5056800;3068213;131664651;2657400;5258100;2637100;6436500;2739900;3373100;11866700;2751600;2877200;16373100;#N/A N/A;2097200;#N/A N/A;#N/A N/A;1180600;15841200;15958760;#N/A N/A;#N/A N/A;8974413;2222900;7264400;6422100;2439500;3645100;63556578;4416200;8186900;#N/A N/A;7755600;2647500;1262900;6525200;#N/A N/A;4608900;#N/A N/A;4200900;2121800;1634500;3705700;1642800;5624600;1960600;43998254;8958400;1915700;#N/A N/A;4871400;556592;2442500;15994300;5411900;#N/A N/A;#N/A N/A;8719739;903500;7481382;7309200;2774600;659970;9377200;2553900;3890166;#N/A N/A;3230900;3540400;1966000;2813300;2614100;#N/A N/A;5961800;#N/A N/A;6411000;8401700;10317000
02/03/06;117448618;#N/A N/A;4684900;2155500;400300;266710;3372300;4750963;7883037;5552800;3623000;1401000;10729400;2917717;2850106;97800;3547400;326500;909280;1640800;7545036;1580800;14067296;1231000;6923500;5212908;57457245;3160500;6993300;3132200;5785800;3531100;3481100;15472000;1938000;1768400;17379500;#N/A N/A;1357600;#N/A N/A;#N/A N/A;1494200;15963900;8133600;#N/A N/A;#N/A N/A;13521108;2236400;12136400;8599000;3022300;3328500;64444094;6016300;7475600;#N/A N/A;8952000;1992700;1802300;6252000;#N/A N/A;3564700;#N/A N/A;4032000;2112400;2249100;4547500;1728000;6304900;1853800;33672211;12092000;1895600;#N/A N/A;5054000;224435;2573700;13660800;7571200;#N/A N/A;#N/A N/A;10451104;1300300;11748222;9906000;2917300;1014879;8877200;2677100;4575866;#N/A N/A;3935800;2751200;1807600;2756300;2656600;#N/A N/A;7470600;#N/A N/A;6264200;8802600;13293400
03/03/06;131751361;#N/A N/A;2661900;991500;445500;241630;2171200;5239272;4412057;2388000;2986800;2003100;9793600;3978546;3611618;102000;5612800;440000;1004170;2418300;8105574;2154200;17644467;751000;4316000;3578674;63045989;1957400;6844000;2797000;5511500;2488300;1905700;12862700;2073200;2344600;19682600;#N/A N/A;1405000;#N/A N/A;#N/A N/A;1788400;16071800;10610728;#N/A N/A;#N/A N/A;8395488;3097500;6573600;4485300;2576300;3232400;157747979;4319300;8186700;#N/A N/A;7856400;1945300;1603900;5270800;#N/A N/A;4118700;#N/A N/A;2623100;1630800;2369200;3545400;2755000;4734300;2080300;36551885;6176000;1469500;#N/A N/A;3967800;287101;2549900;20911100;5433700;#N/A N/A;#N/A N/A;8889535;1243000;9452982;5991000;2461900;828680;8231000;2551600;3948833;#N/A N/A;4232400;4313200;2459900;3206100;2663000;#N/A N/A;8113000;#N/A N/A;5387200;6998900;12143300
06/03/06;168121996;#N/A N/A;2784900;649800;579700;216900;1459900;5431497;3043093;3713000;2428800;1561500;8514700;5594310;1727931;143600;3590500;834500;878610;4158200;5056246;1938800;13114653;725700;5027700;5448654;67515911;1701200;6367400;2865600;4515000;3198300;3225300;10500800;2047200;2498200;9847200;#N/A N/A;1120300;#N/A N/A;#N/A N/A;1936800;13247800;8261420;#N/A N/A;#N/A N/A;6655052;2269300;8367200;5671900;3239300;3285400;63918061;5387900;5776300;#N/A N/A;6897600;3234800;1365700;5955400;#N/A N/A;3188500;#N/A N/A;2426900;1461700;2781800;4140700;3646800;6376700;2277100;43092600;11173600;1879600;#N/A N/A;5779200;275720;2208400;12357500;3720300;#N/A N/A;#N/A N/A;10094452;1346000;9754560;9818200;2398600;901358;35783300;2591200;5502299;#N/A N/A;4145000;3483200;2037700;3221500;2708900;#N/A N/A;12999300;#N/A N/A;5249000;7651300;11207700
07/03/06;155664908;#N/A N/A;3091300;1931400;438000;235135;1436400;5422439;3262542;4297000;2175200;1533700;9778700;5594310;1535667;94900;4929700;1029000;1080910;3931700;5007386;2336600;14404320;723300;6141000;2661034;37675622;2406800;6982500;2918000;5281200;3128200;3078000;10284400;2309600;2197700;9821100;#N/A N/A;993800;#N/A N/A;#N/A N/A;2818800;14058900;7869292;#N/A N/A;#N/A N/A;7897210;2040500;9811400;4314300;2238200;3257100;69847541;6931200;7111300;#N/A N/A;8759600;2799900;1710800;8544200;#N/A N/A;5932100;#N/A N/A;2633900;1859800;2429100;4160200;2781000;4160500;2367800;43354436;20293600;2066600;#N/A N/A;5273000;203385;3088000;14829700;5325000;#N/A N/A;#N/A N/A;18207427;892600;7174330;10684400;1588600;617871;24279100;3058600;3883100;#N/A N/A;4733400;4862400;2240000;2721000;1979200;#N/A N/A;4638700;#N/A N/A;8018800;8258200;11506700
08/03/06;118826666;#N/A N/A;2750200;2087800;423700;260875;2231600;5452102;4342283;5429200;2190900;1728400;9856100;5594310;1747271;115400;2997600;633500;793230;5429300;4564916;5848600;9206459;899600;5836600;1929852;44585907;6453400;9114800;3256000;4517200;3377100;3383900;8613500;1811000;2604900;10491200;#N/A N/A;1067400;#N/A N/A;#N/A N/A;1668400;14122100;12038520;#N/A N/A;#N/A N/A;9028172;2826100;11783800;6246200;2137400;4128400;67178480;4740200;6509400;#N/A N/A;9072400;2914300;1638400;6397000;#N/A N/A;4705800;#N/A N/A;3081000;1513600;1768400;4232700;6997000;3867300;2615500;44472367;15477600;2171100;#N/A N/A;6116800;168637;3386400;10332300;5933000;#N/A N/A;#N/A N/A;22248088;1165700;6602372;11201600;2385100;882613;15076300;2679500;4558433;#N/A N/A;4453200;7464000;2504200;3317400;1832000;#N/A N/A;6431400;#N/A N/A;4590400;10623500;14308000
09/03/06;147434546;#N/A N/A;4077900;1241800;715100;199180;1905700;6316733;5060307;6573200;2746900;2257400;9110400;12122065;1999348;144900;4265900;1441000;863970;3900900;5143322;7182000;13394666;1365500;4409700;1636339;37011335;5727700;8188200;2870600;5067500;2174100;2879800;8631900;1988400;1122900;12113500;#N/A N/A;1653100;#N/A N/A;#N/A N/A;1407000;16366800;9571904;#N/A N/A;#N/A N/A;10418812;1805900;9688000;7360900;2110600;3306600;55458744;6353000;7961200;#N/A N/A;9609200;2607200;1547400;6398800;#N/A N/A;3911700;#N/A N/A;3612900;1088700;1565900;5715700;2368000;3964700;2270100;36983248;9390400;1264700;#N/A N/A;3729800;167453;3637400;11678400;5831700;#N/A N/A;#N/A N/A;13417560;1497100;5324270;7837600;1519000;731915;13735200;1904100;4326466;#N/A N/A;3872200;3630000;1953700;2102500;2559700;#N/A N/A;7135800;#N/A N/A;3926200;5517600;13591800
10/03/06;193034534;#N/A N/A;2719100;1692400;555000;233035;1942300;6263169;3770425;5096400;3139400;2349600;9573200;4679104;2416142;146900;3944800;1743500;1019000;4819900;3488530;4230600;13916978;2082300;5708400;2210611;37348950;2303000;8494800;3559500;5869200;3571000;3434000;7498800;1530800;2053200;10871400;#N/A N/A;1051900;#N/A N/A;#N/A N/A;1898400;15529000;7386624;#N/A N/A;#N/A N/A;13587125;2621100;9763400;5472400;2579900;3687800;49478274;6742400;7360200;#N/A N/A;11006400;2671200;1628900;5197200;#N/A N/A;3296200;#N/A N/A;3131600;1385600;1478200;4368600;2049600;4284900;3295000;32123270;7948000;1846900;#N/A N/A;4892800;367027;2975600;15058800;6017800;#N/A N/A;#N/A N/A;9476592;1228400;10241566;7730200;1742900;720605;15920000;2537900;4384200;#N/A N/A;4742700;3507200;2307000;1778400;2450000;#N/A N/A;7440900;#N/A N/A;5204600;6795200;13524500
13/03/06;157653643;#N/A N/A;6279000;1295600;3559700;199325;2033200;5102180;2132190;3417800;2988500;2587000;7922700;2122043;2898313;185200;5218600;682000;750770;2749800;2875720;3073800;9451235;10729300;4869000;2239927;36764928;1775400;6813600;3546100;6001500;2562900;3446400;5615000;1395800;1204500;9806200;#N/A N/A;838600;#N/A N/A;#N/A N/A;1155800;13542300;7346408;#N/A N/A;#N/A N/A;9585999;3479900;8677800;3867200;2436700;3328300;65628593;3569900;7354000;#N/A N/A;8568200;1983300;1698300;4153600;#N/A N/A;4483000;#N/A N/A;2230400;1443400;1523000;4163700;1648800;5537000;3547400;31756953;7554400;1259000;#N/A N/A;3323800;233136;2910500;14788700;4847100;#N/A N/A;#N/A N/A;8226128;879900;6457742;8667600;1351000;805641;14873000;2136600;3610166;#N/A N/A;8579700;2475600;1545300;2947200;1824400;#N/A N/A;6535700;#N/A N/A;4626600;5933700;9808800
14/03/06;116753896;#N/A N/A;3394300;1294200;1064700;239525;2034000;6830497;3220273;3918000;2732600;1965500;10645600;2311983;2675011;395600;5250200;855000;965340;3191900;2992028;7982800;11851557;5623600;5907800;2866735;45832337;3517400;6869000;2628500;3968600;2864500;2593000;6710600;1803600;1576900;6470000;#N/A N/A;1366900;#N/A N/A;#N/A N/A;904000;12770100;11769148;#N/A N/A;#N/A N/A;13144139;6688700;7835000;6914200;1746500;3497800;55279925;5867400;8319100;#N/A N/A;8467800;2980300;1542900;6031800;#N/A N/A;4222700;#N/A N/A;3088200;2130100;2068500;5387300;1558200;3669900;5519200;31366351;7098400;1297900;#N/A N/A;4817800;109121;2647600;15374200;11950400;#N/A N/A;#N/A N/A;10168090;989100;8984782;7302200;1809500;782287;9880000;2789700;4242600;#N/A N/A;5107500;3779600;2545000;3842000;2000700;#N/A N/A;6167600;#N/A N/A;6550600;7360100;11067000
