Date;ABI BB Equity;NOKIA FH Equity;DG FP Equity;BNP FP Equity;SAN FP Equity;FP FP Equity;GLE FP Equity;OR FP Equity;AI FP Equity;ORA FP Equity;SU FP Equity;VIV FP Equity;EI FP Equity;BN FP Equity;AIR FP Equity;CS FP Equity;ENGI FP Equity;SAF FP Equity;SGO FP Equity;CA FP Equity;MC FP Equity;UL NA Equity;UNA NA Equity;DAI GY Equity;MUV2 GY Equity;ALV GY Equity;FRE GY Equity;BAYN GY Equity;DTE GY Equity;BAS GY Equity;DPW GY Equity;EOAN GY Equity;VOW3 GY Equity;BMW GY Equity;DBK GY Equity;SAP GY Equity;SIE GY Equity;ISP IM Equity;ENEL IM Equity;UCG IM Equity;ENI IM Equity;G IM Equity;INGA NA Equity;ASML NA Equity;PHIA NA Equity;IBE SQ Equity;TEF SQ Equity;ITX SQ Equity;BBVA SQ Equity;SAN SQ Equity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/03/06;23744,935;69612,0215;15276,7846;65993,9336;101064,6783;130835,231;51979,695;47220,9457;18396,3667;47357,6752;19950,5564;29810,8534;7524,9287;25509,752;25619,8914;56252,6499;29171,8047;9116,2674;19369,1477;29253,4625;37504,7101;#N/A N/A;59248,7105;48269,1327;26521,104;55860,2541;6777,6697;24890,0539;56419,1561;32896,8191;26362,5402;64736,6021;22989,8135;27147,8561;48633,8728;54747,6239;69228,426;33935,2115;43256,3661;63991,3014;93485,077;38370,7402;69077,3416;8634,3217;36047,1692;23981,2086;65057,3371;19055,2098;58492,1979;77553,2813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/03/06;24139,0679;70365,7822;14822,2355;64986,3952;99593,8783;129728,0218;51155,9961;46622,8157;18253,8442;47175,5303;20018,4161;29476,4173;7463,1646;25338,4567;25423,6332;55316,6657;28483,0954;8928,6037;19127,4659;28886,9127;38876,5326;#N/A N/A;58454,5617;47088,6101;25802,5186;54811,1036;6710,6762;25087,2438;57090,8161;32649,591;26159,8431;63532,5183;22097,5156;26488,5267;48031,8674;54178,8164;67945,2608;33757,4202;42498,9939;62998,6493;92924,3292;37809,2787;68305,6509;8619,794;35718,1516;23882,0382;64614,4354;19217,2757;57508,8508;76364,9648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/03/06;23993,5413;69612,0215;14901,2877;64440,6426;98403,2363;129235,9287;50722,4707;46622,8157;18144,2115;47227,5717;20029,7267;29626,3377;7478,6056;25259,3968;25554,472;54305,8028;28532,2883;9028,6907;19058,4134;28879,8649;39488,9544;#N/A N/A;58571,9953;45887,7332;25343,3582;54025,2513;6801,3441;24685,5563;57258,7301;32088,1766;25945,2223;62439,1623;22195,6198;26362,5148;47285,7929;54200,939;67045,2627;33570,7709;42511,308;62793,7173;93164,6486;37643,3936;67688,2984;8561,683;35152,2413;23638,6199;64712,858;19229,7423;56796,7719;75114,1055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/03/06;23805,5698;70498,7988;14753,0654;62425,5593;98333,1942;128559,3008;50679,1188;46906,1394;18078,4319;48398,5033;19961,8669;30525,8514;7488,8996;25233,0441;26077,8271;55054,5902;28758,5784;8986,9876;19144,7287;28802,3252;39292,9787;#N/A N/A;58409,3492;46732,4155;25621,15;54300,7075;6784,9733;23670,3815;58602,0421;31753,3894;25778,2961;63165,7592;22661,9346;26275,8829;47136,5772;54795,0225;67401,6982;33388,8591;42406,6324;62856,4303;92844,2202;40259,2895;68504,0857;8513,2572;35441,7768;23413,2326;65401,8161;19242,2089;57271,4911;74926,4766;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/03/06;23823,7621;71341,2373;14683,8952;67802,1124;95947,7888;128559,3008;50072,1826;47126,5029;18155,1748;48060,2342;19611,2612;30687,3043;7514,6347;25272,5741;25938,8107;54642,7571;28925,8367;8736,7705;19006,6238;28661,3441;38974,5223;#N/A N/A;58814,5166;46742,5946;25763,4903;53595,8696;6805,1218;23699,5958;58769,9561;32093,3283;26052,5327;63864,6806;22579,0893;26286,7221;46354,4813;54529,5806;67116,5512;33216,8971;42511,308;61514,4397;92844,2202;40514,4999;68504,0857;8290,4985;34717,9381;23350,1241;65352,6048;18880,6773;56796,7719;74488,6758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/03/06;23223,4678;72671,4033;14496,146;67617,2424;98385,4221;128497,7892;49031,721;46591,3331;18056,5054;47904,11;19226,7274;30272,1428;7380,8124;25536,1046;25480,875;53856,5304;28817,6121;8378,1248;18816,7304;28372,3341;38386,5952;#N/A N/A;58182,3504;46091,2724;25260,7091;52084,9304;6588,5264;23151,8394;58436,1603;32010,9189;26696,3927;63352,6021;21880,1433;26221,3262;45999,4547;53815,4142;66332,3985;33114,0896;42197,2782;62044,3132;93645,2874;40338,694;67357,5738;8145,221;34007,26;23368,1551;65204,9709;18762,2445;56491,5952;74050,875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/03/06;23314,4222;74045,9082;14832,1176;67293,7163;98994,8252;128559,3008;49638,6572;46906,1394;18056,5054;48580,6482;19769,6;31120,8103;7447,7235;26194,9308;25693,4884;53950,1288;28699,5466;8607,4907;18989,361;29817,3841;38827,5396;#N/A N/A;58584,5381;47322,6788;25451,2611;52599,3812;6700,0983;23743,4146;58520,1182;32201,4902;26815,6267;62729,8011;22077,3452;26785,2324;46436,8089;54766,5833;67713,5767;34211,9255;42437,4206;62429,6065;93084,5396;40351,4557;67710,3467;8290,4985;34875,8665;23476,341;65401,8161;18793,4111;57305,3997;74551,2188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/06;23466,0114;74134,5859;14762,9459;68171,8595;99671,9444;129728,0218;52023,0469;47535,752;18264,8075;49127,0829;19724,3596;32182,0093;7514,6347;26458,4613;26094,1823;54436,8406;28591,3201;8507,4037;19213,7812;30155,7371;39390,9684;#N/A N/A;58880,9431;48065,5935;25999,9577;53360,9236;6824,0109;23867,5741;59149,8206;32356,0075;26851,3976;63629,3979;22281,2704;27202,3307;48011,2856;54810,8236;68087,8378;34837,9275;42893,0741;62929,0918;92924,3292;40134,5123;68327,6993;8150,0636;35033,795;23764,8368;65795,5065;18699,9115;57542,7593;75239,1914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/03/06;23435,694;74977,0244;15276,7846;69512,1848;102041,8616;130835,231;53063,5085;47220,9457;18264,8075;49335,2485;19848,7686;32239,6844;7504,3406;26326,6961;26249,5524;54474,28;28719,2245;8569,958;19351,8849;30423,6009;39758,4214;#N/A N/A;58589,5746;48228,424;26218,0582;54167,031;6856,7522;24232,7451;59317,7405;32139,6837;27077,9397;63497,9215;22357,8835;27141,6747;48103,9021;54874,0234;68016,5493;34748,0212;42837,6548;63688,3576;93925,6689;40861,91;69408,0662;8195,773;34902,1879;23854,9917;66287,6195;18749,7779;57474,9423;75927,1641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/03/06;23805,5698;75376,0742;15546,4908;69419,7498;101567,8802;131265,8124;53020,1566;49506,545;18420,8298;48970,9587;19780,9088;31893,64;7478,6056;26129,0482;25889,5463;54455,5603;28581,4811;8432,3383;19420,9373;30162,7876;39684,9301;#N/A N/A;58443,7303;48462,4927;26126,2275;54746,2896;6900,8268;24524,883;59317,7405;32222,0931;25170,2046;64065,3613;22989,4128;28073,8618;48469,2216;54851,9057;67989,8178;34987,5125;43231,7349;63450,1071;94406,3077;41129,8977;70113,612;8253,9334;34849,5451;23954,1621;65943,1404;18731,078;57746,2104;75676,9922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/03/06;23981,4138;74977,0244;15447,4055;69974,3669;101026,1828;132249,9985;54190,6738;49243,0361;18456,8046;48580,6482;19588,6419;31536,0627;7509,4876;26273,9888;26250,034;54586,5981;29053,7411;8465,7006;19524,5154;30303,7687;39586,9441;#N/A N/A;58194,0765;48666,0319;26009,1411;55430,8724;6913,4195;24437,2399;58855,9619;32345,7061;25182,1283;65317,8796;23265,0297;28719,7022;48335,4453;55190,027;68052,1935;35647,0845;43083,9571;64148,5049;94806,8452;41104,3743;70378,1917;8423,568;35639,1874;23891,0536;65549,45;18837,0442;58017,4786;75614,4492;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
