Date;ABI BB Equity;NOKIA FH Equity;DG FP Equity;BNP FP Equity;SAN FP Equity;FP FP Equity;GLE FP Equity;OR FP Equity;AI FP Equity;ORA FP Equity;SU FP Equity;VIV FP Equity;EI FP Equity;BN FP Equity;AIR FP Equity;CS FP Equity;ENGI FP Equity;SAF FP Equity;SGO FP Equity;CA FP Equity;MC FP Equity;UL NA Equity;UNA NA Equity;DAI GY Equity;MUV2 GY Equity;ALV GY Equity;FRE GY Equity;BAYN GY Equity;DTE GY Equity;BAS GY Equity;DPW GY Equity;EOAN GY Equity;VOW3 GY Equity;BMW GY Equity;DBK GY Equity;SAP GY Equity;SIE GY Equity;ISP IM Equity;ENEL IM Equity;UCG IM Equity;ENI IM Equity;G IM Equity;INGA NA Equity;ASML NA Equity;PHIA NA Equity;IBE SQ Equity;TEF SQ Equity;ITX SQ Equity;BBVA SQ Equity;SAN SQ Equity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/03/06;24,4819;15,7;37,9466;75,7982;72,15;52,4787;105,6671;75;53,5995;18,2;43,6545;25,0161;36,55;45,6708;31,33;28,801;29,65;21,86;50,9667;36,2535;68,9889;#N/A N/A;19,6333;47,43;115,52;137,9;14,65;34,08;13,44;31,935;22,11;31,183;42,175;40,49;82,261;43,313;75,284;4,6472;6,1925;32,6388;23,34;27,3364;24,0576;17,83;27,39;6,65;13,0703;6,114;16,5728;11,5612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/03/06;24,8882;15,87;36,8175;74,6409;71,1;52,0346;103,9926;74,05;53,1842;18,13;43,803;24,7354;36,25;45,3641;31,09;28,3217;28,95;21,41;50,3307;35,7992;71,5124;#N/A N/A;19,4;46,27;112,39;135,31;14,5;34,35;13,6;31,695;21,94;30,603;40,624;39,64;81,243;42,862;73,889;4,6209;6,0841;32,1336;23,2;26,9364;23,7889;17,8;27,14;6,6225;12,9813;6,166;16,2942;11,384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/03/06;24,7382;15,7;37,0139;74,0141;70,25;51,8372;103,1113;74,05;52,8648;18,15;43,8277;24,8612;36,325;45,2226;31,25;27,8042;29;21,65;50,149;35,7905;72,6389;#N/A N/A;19,4833;45,09;110,39;133,37;14,556;33,8;13,64;31,15;21,76;30,077;40,713;39,28;79,981;42,88;72,91;4,589;6,0859;32,0272;23,26;26,8182;23,5739;17,68;26,71;6,555;13,001;6,17;16,0924;11,1976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/03/06;24,5444;15,9;36,6457;71,6997;70,2;51,5658;103,0232;74,5;52,6731;18,6;43,6792;25,6161;36,375;45,1754;31,89;28,1876;29,23;21,55;50,3762;35,6944;72,2784;#N/A N/A;19,4;45,92;111,6;134,05;14,594;32,41;13,96;30,825;21,62;30,427;41,568;39,37;79,729;43,35;73,298;4,5618;6,0709;32,0591;23,18;28,6818;23,858;17,58;26,93;6,4925;13,1395;6,174;16,2269;11,1696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/03/06;24,5631;16,09;36,4739;71,2885;70,85;51,5658;101,7894;74,85;52,8967;18,47;42,9121;25,7516;36,5;45,2461;31,72;27,9767;29,4;20,95;50,0128;35,5197;71,6926;#N/A N/A;19,4833;45,93;112,22;132,31;14,583;32,45;14;31,155;21,85;30,763;41,399;39,24;78,406;43,14;72,987;4,5384;6,0859;31,3731;23,18;28,8636;23,858;17,12;26,38;6,475;13,1296;6,058;16,0924;11,1043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/03/06;23,9442;16,39;36,0075;71,0941;72,65;51,5411;99,6743;74;52,6092;18,41;42,0707;25,4032;35,85;45,718;31,16;27,5742;29,29;20,09;49,5131;35,1615;70,6111;#N/A N/A;19,25;45,29;110,03;128,58;14,333;31,7;13,92;31,075;22,39;30,517;40,356;39,16;77,805;42,575;72,135;4,5243;6,0409;31,6443;23,38;28,7364;23,4587;16,82;25,84;6,48;13,0999;6,02;16,0059;11,0391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/03/06;24,038;16,7;36,842;70,754;73,1;51,5658;100,9081;74,5;52,6092;18,67;43,2585;26,1096;36,175;46,8975;31,42;27,6221;29,17;20,64;49,9673;36,9523;71,4222;#N/A N/A;19,4333;46,5;110,86;129,85;14,494;32,51;13,94;31,26;22,49;30,217;40,544;40,32;78,545;43,327;73,637;4,6669;6,0753;31,8411;23,24;28,7455;23,5815;17,12;26,5;6,51;13,1395;6,03;16,2365;11,1136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/06;24,1943;16,72;36,6702;71,6773;73,6;52,0346;105,7552;75,5;53,2162;18,88;43,1596;26,9999;36,5;47,3693;31,91;27,8713;29,06;20,4;50,5579;37,3717;72,4587;#N/A N/A;19,5333;47,23;113,25;131,73;14,688;32,68;14,09;31,41;22,52;30,65;40,773;40,56;81,208;43,362;74,044;4,7532;6,1405;32,0964;23,2;28,5909;23,7965;16,83;26,62;6,59;13,2186;6;16,3038;11,2162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/03/06;24,163;16,91;37,9466;73,0865;75,35;52,4787;107,8703;75;53,2162;18,96;43,4318;27,0483;36,45;47,1334;32,1;27,8904;29,19;20,55;50,9213;37,7036;73,1346;#N/A N/A;19,4667;47,39;114,2;133,72;14,767;33,18;14,13;31,2;22,71;30,587;40,962;40,71;81,365;43,412;73,966;4,741;6,1326;32,4846;23,45;29,1091;24,1728;16,91;26,52;6,615;13,3174;6,016;16,2845;11,3188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/03/06;24,5444;17;38,5111;72,9893;75;52,6514;107,7822;75,15;53,6634;18,82;43,2833;26,758;36,325;46,7795;31,6;27,8809;29,05;20,22;51,103;37,3804;72,9994;#N/A N/A;19,4167;47,62;113,8;135,15;14,831;33,58;14,13;31,28;21,11;30,86;42,075;41,87;81,983;43,395;73,937;4,7766;6,189;32,3623;23,57;29,3;24,4185;17,03;26,48;6,6425;13,2482;6,01;16,3614;11,2815;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
