Date;ABI BB Equity;NOKIA FH Equity;DG FP Equity;BNP FP Equity;SAN FP Equity;FP FP Equity;GLE FP Equity;OR FP Equity;AI FP Equity;ORA FP Equity;SU FP Equity;VIV FP Equity;EI FP Equity;BN FP Equity;AIR FP Equity;CS FP Equity;ENGI FP Equity;SAF FP Equity;SGO FP Equity;CA FP Equity;MC FP Equity;UL NA Equity;UNA NA Equity;DAI GY Equity;MUV2 GY Equity;ALV GY Equity;FRE GY Equity;BAYN GY Equity;DTE GY Equity;BAS GY Equity;DPW GY Equity;EOAN GY Equity;VOW3 GY Equity;BMW GY Equity;DBK GY Equity;SAP GY Equity;SIE GY Equity;ISP IM Equity;ENEL IM Equity;UCG IM Equity;ENI IM Equity;G IM Equity;INGA NA Equity;ASML NA Equity;PHIA NA Equity;IBE SQ Equity;TEF SQ Equity;ITX SQ Equity;BBVA SQ Equity;SAN SQ Equity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/03/06;1878258;24760525;4043392;3307842;3972866;10353520;1259788;1235518;1102188;14054804;2197259;10895238;463010;2169159;1426476;7241081;4566244;1201723;1533751;3545841;1530198;#N/A N/A;14025972;5590243;1504195;2648014;196362;4401019;32683298;5340952;3121107;9763836;707370;1914571;5425926;4458668;3197921;32937381;44658588;11769166;53659199;17383243;16709051;5567880;9691476;53297256;69040510;10948600;17095957;38595501;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/03/06;2353464;35682733;4631909;3534915;5686471;12462384;1931548;1416155;1382269;14112049;2423027;11652251;396994;3224996;1610489;6694958;2261639;1219384;2183015;3351297;5900005;#N/A N/A;10958283;7325996;2820300;3812884;379854;5036984;55515299;6681778;4321297;12307638;733340;2557263;5559425;6295084;5637356;24241297;55168522;10417447;31867109;10837712;14483044;5930252;9086449;28055048;62231810;12919955;22010760;35341115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/03/06;2643079;27660516;3512326;6392604;4384285;13244956;2008656;1437442;1364606;15584732;1656449;21751801;615926;2566619;1107275;8771238;2206322;782153;1567026;2708835;2587007;#N/A N/A;8794554;8406772;2497014;3223571;113742;4666787;30783772;6241990;3091251;13942086;375046;1735387;5639586;6154104;5791259;25410726;38452871;9641823;20468508;8675442;11771155;5814708;8858655;24218952;49138977;8443200;19631845;49747552;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/03/06;1347380;22248143;2304361;10609773;2846151;11730744;1710871;1518824;1800384;21662338;1507998;17710481;664072;2537599;1788200;6554961;2141942;554458;1195914;1560986;1409322;#N/A N/A;7822272;5917681;1464560;2525679;158922;15841466;49377308;7967148;4301331;10226001;397063;2342346;3824803;5200616;3509284;40972567;32849542;7860869;14563557;50706120;9288615;4484958;5903344;18550536;58729651;4206260;19499581;40595205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/03/06;1490874;57424085;2230929;12469308;5370530;14383584;2296531;1235705;1271470;13076177;1961778;12220432;347524;2889553;2497608;7014909;1884236;1279073;1332222;3044556;994003;#N/A N/A;7498944;5053137;1790388;3011236;97047;5185541;37325073;6491926;2595186;11800410;242552;2312844;5825523;5143568;4662213;29762550;44787817;15683786;19461306;23890678;10187591;6446624;8344152;21344664;46390910;6603360;21834346;46123137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/03/06;2903929;73583470;2421267;7365209;6724381;15573368;3007046;1696980;1322215;11893476;2596845;10390419;663966;3630290;5316882;11432287;3245419;1641500;2017095;3232674;1630742;#N/A N/A;9434988;5209417;2614548;4240777;288288;7653593;25915203;6202120;7760052;9409230;227425;3514685;4953968;6977504;4659218;28682649;55622589;13018712;26565393;13711583;16692874;6742560;12685067;18362688;44295262;6159170;22361675;40650061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/03/06;1270897;38533293;2490709;7149829;5755106;11019336;2425727;1679478;1401773;13064598;3382254;13886707;1108328;4455340;2118458;9071689;1905439;1100319;1750078;9719603;1328961;#N/A N/A;6772149;6080597;1702438;2844735;32121;6374456;26917542;4717148;3537203;18860046;559583;5863978;6545939;4546272;4572678;37382607;50840294;12990592;17779773;8735471;13437274;4226996;8043617;16073032;34038364;3971875;52536919;63925883;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/06;889045;29833281;2502229;8452804;3674631;10296688;3333604;1126841;1172308;10441099;1207284;16447779;907788;4331062;1874481;9126418;1748134;874792;1623310;7290268;1512210;#N/A N/A;6195831;5025240;2076508;2566618;127359;3610316;23878339;4696818;2339329;10032477;285969;2857273;5636579;6713736;4522349;57016490;53485805;9707582;15850234;9916625;10256563;5454425;6257316;13961368;39060751;4442730;30683160;59031159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/03/06;1011666;33563890;3936857;7611665;5429697;7631204;2848626;1022576;1062642;8842284;1232782;14868534;558894;2062189;1898372;6681793;1522841;534958;1731999;3117270;1235375;#N/A N/A;7075554;5072682;1704310;3017292;140904;6172271;19011873;4661956;2959852;9493248;186951;1483498;5204157;3729384;4048864;67306855;47027253;10569839;13108505;12688729;12532853;5083736;6080260;15233876;41142245;7256545;22849315;27946753;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/03/06;924276;36349732;2845675;5643545;2704026;6171044;1672401;1118474;1000827;9652401;729869;7618596;686614;1889505;1961712;7411971;2545315;698395;880694;2622777;857271;#N/A N/A;7363185;4777223;2580958;2653639;76770;5183515;18709501;4035744;23636019;9362676;337236;7432603;5773046;2595812;3374959;26715741;49460467;10423048;17320503;9798825;8845337;2754608;9028293;15667772;39432251;7729160;19703684;65924093;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
